	locus_tag
614	MtrunA17_Chr1g0150111
615	MtrunA17_Chr1g0150121
616	MtrunA17_Chr1g0150131
617	MtrunA17_Chr1g0150141
618	MtrunA17_Chr1g0150151
619	MtrunA17_Chr1g0150161
620	MtrunA17_Chr1g0150171
621	MtrunA17_Chr1g0150181
622	MtrunA17_Chr1g0150191
623	MtrunA17_Chr1g0150201
624	MtrunA17_Chr1g0150211
625	MtrunA17_Chr1g0150221
626	MtrunA17_Chr1g0150231
627	MtrunA17_Chr1g0150241
628	MtrunA17_Chr1g0150251
629	MtrunA17_Chr1g0150261
630	MtrunA17_Chr1g0150271
631	MtrunA17_Chr1g0150281
632	MtrunA17_Chr1g0150291
633	MtrunA17_Chr1g0150301
634	MtrunA17_Chr1g0150311
635	MtrunA17_Chr1g0150321
636	MtrunA17_Chr1g0150331
637	MtrunA17_Chr1g0150341
638	MtrunA17_Chr1g0150351
639	MtrunA17_Chr1g0150361
640	MtrunA17_Chr1g0150371
641	MtrunA17_Chr1g0150381
642	MtrunA17_Chr1g0150391
643	MtrunA17_Chr1g0150401
644	MtrunA17_Chr1g0150411
645	MtrunA17_Chr1g0150421
646	MtrunA17_Chr1g0150431
647	MtrunA17_Chr1g0150441
648	MtrunA17_Chr1g0150451
649	MtrunA17_Chr1g0150461
650	MtrunA17_Chr1g0150471
651	MtrunA17_Chr1g0150481
652	MtrunA17_Chr1g0150491
653	MtrunA17_Chr1g0150501
654	MtrunA17_Chr1g0150511
655	MtrunA17_Chr1g0150531
656	MtrunA17_Chr1g0150541
657	MtrunA17_Chr1g0150551
658	MtrunA17_Chr1g0150561
659	MtrunA17_Chr1g0150571
660	MtrunA17_Chr1g0150581
661	MtrunA17_Chr1g0150601
662	MtrunA17_Chr1g0150621
663	MtrunA17_Chr1g0150631
664	MtrunA17_Chr1g0150641
665	MtrunA17_Chr1g0150651
666	MtrunA17_Chr1g0150661
667	MtrunA17_Chr1g0150671
668	MtrunA17_Chr1g0150681
669	MtrunA17_Chr1g0150691
670	MtrunA17_Chr1g0150701
671	MtrunA17_Chr1g0150711
672	MtrunA17_Chr1g0150721
673	MtrunA17_Chr1g0150731
674	MtrunA17_Chr1g0150741
675	MtrunA17_Chr1g0150751
676	MtrunA17_Chr1g0150761
677	MtrunA17_Chr1g0150771
678	MtrunA17_Chr1g0150781
679	MtrunA17_Chr1g0150791
680	MtrunA17_Chr1g0150801
681	MtrunA17_Chr1g0150811
682	MtrunA17_Chr1g0150821
683	MtrunA17_Chr1g0150831
684	MtrunA17_Chr1g0150841
685	MtrunA17_Chr1g0150851
686	MtrunA17_Chr1g0150871
687	MtrunA17_Chr1g0150901
688	MtrunA17_Chr1g0150921
689	MtrunA17_Chr1g0150941
690	MtrunA17_Chr1g0150971
691	MtrunA17_Chr1g0150981
692	MtrunA17_Chr1g0150991
